"jsonkey_statid"	"rdfs:type"	"schema:name"	"schema:description"	"schema:sameAs"	"schema:image"
"1981_822_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_823_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_824_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_825_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_826_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_827_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_828_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_829_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_830_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_831_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_832_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_833_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_834_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_835_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_836_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_837_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_838_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_839_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_840_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_841_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_842_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_843_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_844_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_845_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_847_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_848_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_849_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_850_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_851_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_852_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_853_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_854_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_855_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_856_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_857_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_858_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_859_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_860_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_861_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_862_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_863_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_864_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_865_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_866_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_867_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_962_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_868_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_869_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_870_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_871_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_872_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_873_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_874_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_876_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_877_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_878_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_879_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_880_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_881_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_882_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_883_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_884_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_885_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_886_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_887_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_888_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_889_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_890_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_891_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_892_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_893_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_895_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_896_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
